"","library","pot","species","genotypes"
"1","SRR18707763","pot_82","M_truncatula","HM008"
"2","SRR18707772","pot_50","M_truncatula","HM008"
"3","SRR18707777","pot_10","M_truncatula","HM008"
"4","SRR18707717","pot_102","M_truncatula","HM019"
"5","SRR18707741","pot_72","M_truncatula","HM019"
"6","SRR18707749","pot_4","M_truncatula","HM019"
"7","SRR18707714","pot_59","M_truncatula","HM051"
"8","SRR18707722","pot_53","M_truncatula","HM051"
"9","SRR18707713","pot_81","M_truncatula","HM057"
"10","SRR18707721","pot_90","M_truncatula","HM057"
"11","SRR18707742","pot_64","M_truncatula","HM057"
"12","SRR18707770","pot_22","M_truncatula","HM057"
"13","SRR18707696","pot_65","M_truncatula","HM065"
"14","SRR18707698","pot_18","M_truncatula","HM065"
"15","SRR18707774","pot_97","M_truncatula","HM076"
"16","SRR18707703","pot_36","M_truncatula","HM079"
"17","SRR18707726","pot_104","M_truncatula","HM079"
"18","SRR18707704","pot_30","M_truncatula","HM091"
"19","SRR18707723","pot_23","M_truncatula","HM091"
"20","SRR18707701","pot_107","M_truncatula","HM097"
"21","SRR18707728","pot_69","M_truncatula","HM097"
"22","SRR18707767","pot_108","M_truncatula","HM097"
"23","SRR18707773","pot_71","M_truncatula","HM097"
"24","SRR18707711","pot_100","M_truncatula","HM101"
"25","SRR18707733","pot_58","M_truncatula","HM101"
"26","SRR18707743","pot_29","M_truncatula","HM101"
"27","SRR18707747","pot_19","M_truncatula","HM101"
"28","SRR18707716","pot_43","M_truncatula","HM124"
"29","SRR18707731","pot_83","M_truncatula","HM124"
"30","SRR18707738","pot_112","M_truncatula","HM124"
"31","SRR18707734","pot_17","M_truncatula","HM162"
"32","SRR18707740","pot_98","M_truncatula","HM162"
"33","SRR18707769","pot_62","M_truncatula","HM162"
"34","SRR18707751","pot_99","M_truncatula","HM182"
"35","SRR18707753","pot_110","M_truncatula","HM182"
"36","SRR18707756","pot_80","M_truncatula","HM182"
"37","SRR18707757","pot_106","M_truncatula","HM197"
"38","SRR18707709","pot_95","M_truncatula","HM200"
"39","SRR18707752","pot_40","M_truncatula","HM200"
"40","SRR18707692","pot_60","M_truncatula","HM201"
"41","SRR18707695","pot_3","M_truncatula","HM201"
"42","SRR18707697","pot_49","M_truncatula","HM267"
"43","SRR18707702","pot_61","M_truncatula","HM267"
"44","SRR18707735","pot_51","M_truncatula","HM267"
"45","SRR18707758","pot_1","M_truncatula","HM267"
"46","SRR18707706","pot_111","M_truncatula","HM270"
"47","SRR18707729","pot_16","M_truncatula","HM270"
"48","SRR18707707","pot_84","M_truncatula","HM278"
"49","SRR18707708","pot_24","M_truncatula","HM278"
"50","SRR18707778","pot_101","M_truncatula","HM278"
"51","SRR18707746","pot_20","M_tricycla","HM340"
"52","SRR18707754","pot_96","M_tricycla","HM340"
"53","SRR18707775","pot_44","M_tricycla","HM340"
